0.000000	0.000000
0.062832	0.063416
0.125664	0.126327
0.188496	0.188550
0.251327	0.249893
0.314159	0.310157
0.376991	0.369139
0.439823	0.426631
0.502655	0.482428
0.565487	0.536322
0.628319	0.588114
0.691150	0.637604
0.753982	0.684601
0.816814	0.728921
0.879646	0.770390
0.942478	0.808841
1.005310	0.844122
1.068142	0.876089
1.130974	0.904614
1.193805	0.929579
1.256637	0.950886
1.319469	0.968445
1.382301	0.982185
1.445133	0.992048
1.507965	0.997995
1.570797	1.000000
1.633629	0.998054
1.696460	0.992164
1.759292	0.982353
1.822124	0.968660
1.884956	0.951137
1.947788	0.929857
2.010620	0.904902
2.073452	0.876372
2.136284	0.844381
2.199116	0.809056
2.261947	0.770536
2.324779	0.728976
2.387611	0.684539
2.450443	0.637402
2.513275	0.587752
2.576107	0.535784
2.638939	0.481705
2.701771	0.425727
2.764602	0.368073
2.827434	0.308968
2.890266	0.248647
2.953098	0.187347
3.015930	0.125309
3.078762	0.062777
3.141594	-0.000001
3.204426	-0.062779
3.267257	-0.125311
3.330089	-0.187349
3.392921	-0.248649
3.455753	-0.308970
3.518585	-0.368075
3.581417	-0.425729
3.644249	-0.481707
3.707081	-0.535786
3.769912	-0.587754
3.832744	-0.637404
3.895576	-0.684541
3.958408	-0.728977
4.021240	-0.770537
4.084072	-0.809057
4.146904	-0.844382
4.209735	-0.876373
4.272567	-0.904903
4.335399	-0.929857
4.398231	-0.951138
4.461063	-0.968660
4.523895	-0.982354
4.586727	-0.992164
4.649559	-0.998054
4.712390	-1.000000
4.775222	-0.997995
4.838054	-0.992048
4.900886	-0.982184
4.963718	-0.968444
5.026550	-0.950885
5.089382	-0.929579
5.152214	-0.904613
5.215045	-0.876088
5.277877	-0.844120
5.340709	-0.808840
5.403541	-0.770388
5.466373	-0.728920
5.529205	-0.684600
5.592037	-0.637603
5.654869	-0.588113
5.717700	-0.536321
5.780532	-0.482426
5.843364	-0.426629
5.906196	-0.369138
5.969028	-0.310155
6.031860	-0.249892
6.094692	-0.188548
6.157524	-0.126325
6.220356	-0.063414
